time,t1,t_value,ret,bin
2021-03-26 08:00:00+00:00,0,0.0,0.0,0.0
2021-03-26 09:00:00+00:00,0,0.0,0.0,0.0
2021-03-26 10:00:00+00:00,0,0.0,0.0,0.0
2021-03-26 11:00:00+00:00,0,0.0,0.0,0.0
2021-03-26 12:00:00+00:00,0,0.0,0.0,0.0
2021-03-26 13:00:00+00:00,0,0.0,0.0,0.0
2021-03-26 14:00:00+00:00,0,0.0,0.0,0.0
2021-03-26 15:00:00+00:00,0,0.0,0.0,0.0
2021-03-26 16:00:00+00:00,0,0.0,0.0,0.0
2021-03-26 17:00:00+00:00,0,0.0,0.0,0.0
2021-03-26 18:00:00+00:00,0,0.0,0.0,0.0
2021-03-26 19:00:00+00:00,0,0.0,0.0,0.0
2021-03-26 20:00:00+00:00,0,0.0,0.0,0.0
2021-03-26 21:00:00+00:00,0,0.0,0.0,0.0
2021-03-26 22:00:00+00:00,0,0.0,0.0,0.0
2021-03-26 23:00:00+00:00,0,0.0,0.0,0.0
2021-03-27 00:00:00+00:00,0,0.0,0.0,0.0
2021-03-27 01:00:00+00:00,0,0.0,0.0,0.0
2021-03-27 02:00:00+00:00,0,0.0,0.0,0.0
2021-03-27 03:00:00+00:00,0,0.0,0.0,0.0
2021-03-27 04:00:00+00:00,0,0.0,0.0,0.0
2021-03-27 05:00:00+00:00,0,0.0,0.0,0.0
2021-03-27 06:00:00+00:00,0,0.0,0.0,0.0
2021-03-27 07:00:00+00:00,0,0.0,0.0,0.0
2021-03-27 08:00:00+00:00,0,0.0,0.0,0.0
2021-03-27 09:00:00+00:00,0,0.0,0.0,0.0
2021-03-27 10:00:00+00:00,0,0.0,0.0,0.0
2021-03-27 11:00:00+00:00,0,0.0,0.0,0.0
2021-03-27 12:00:00+00:00,0,0.0,0.0,0.0
2021-03-27 13:00:00+00:00,0,0.0,0.0,0.0
2021-03-27 14:00:00+00:00,0,0.0,0.0,0.0
2021-03-27 15:00:00+00:00,0,0.0,0.0,0.0
2021-03-27 16:00:00+00:00,0,0.0,0.0,0.0
2021-03-27 17:00:00+00:00,0,0.0,0.0,0.0
2021-03-27 18:00:00+00:00,0,0.0,0.0,0.0
2021-03-27 19:00:00+00:00,0,0.0,0.0,0.0
2021-03-27 20:00:00+00:00,0,0.0,0.0,0.0
2021-03-27 21:00:00+00:00,0,0.0,0.0,0.0
2021-03-27 22:00:00+00:00,0,0.0,0.0,0.0
2021-03-27 23:00:00+00:00,0,0.0,0.0,0.0
2021-03-28 00:00:00+00:00,0,0.0,0.0,0.0
2021-03-28 01:00:00+00:00,0,0.0,0.0,0.0
2021-03-28 02:00:00+00:00,0,0.0,0.0,0.0
2021-03-28 03:00:00+00:00,0,0.0,0.0,0.0
2021-03-28 04:00:00+00:00,0,0.0,0.0,0.0
2021-03-28 05:00:00+00:00,0,0.0,0.0,0.0
2021-03-28 06:00:00+00:00,0,0.0,0.0,0.0
2021-03-28 07:00:00+00:00,0,0.0,0.0,0.0
2021-03-28 08:00:00+00:00,0,0.0,0.0,0.0
2021-03-28 09:00:00+00:00,0,0.0,0.0,0.0
2021-03-28 10:00:00+00:00,0,0.0,0.0,0.0
2021-03-28 11:00:00+00:00,0,0.0,0.0,0.0
2021-03-28 12:00:00+00:00,0,0.0,0.0,0.0
2021-03-28 13:00:00+00:00,0,0.0,0.0,0.0
2021-03-28 14:00:00+00:00,0,0.0,0.0,0.0
2021-03-28 15:00:00+00:00,0,0.0,0.0,0.0
2021-03-28 16:00:00+00:00,0,0.0,0.0,0.0
2021-03-28 17:00:00+00:00,0,0.0,0.0,0.0
2021-03-28 18:00:00+00:00,0,0.0,0.0,0.0
2021-03-28 19:00:00+00:00,0,0.0,0.0,0.0
2021-03-28 20:00:00+00:00,0,0.0,0.0,0.0
2021-03-28 21:00:00+00:00,0,0.0,0.0,0.0
2021-03-28 22:00:00+00:00,0,0.0,0.0,0.0
2021-03-28 23:00:00+00:00,0,0.0,0.0,0.0
2021-03-29 00:00:00+00:00,0,0.0,0.0,0.0
2021-03-29 01:00:00+00:00,0,0.0,0.0,0.0
2021-03-29 02:00:00+00:00,0,0.0,0.0,0.0
2021-03-29 03:00:00+00:00,0,0.0,0.0,0.0
2021-03-29 04:00:00+00:00,0,0.0,0.0,0.0
2021-03-29 05:00:00+00:00,0,0.0,0.0,0.0
2021-03-29 06:00:00+00:00,0,0.0,0.0,0.0
2021-03-29 07:00:00+00:00,0,0.0,0.0,0.0
2021-03-29 08:00:00+00:00,0,0.0,0.0,0.0
2021-03-29 09:00:00+00:00,0,0.0,0.0,0.0
2021-03-29 10:00:00+00:00,0,0.0,0.0,0.0
2021-03-29 11:00:00+00:00,0,0.0,0.0,0.0
2021-03-29 12:00:00+00:00,0,0.0,0.0,0.0
2021-03-29 13:00:00+00:00,0,0.0,0.0,0.0
2021-03-29 14:00:00+00:00,0,0.0,0.0,0.0
2021-03-29 15:00:00+00:00,2021-03-29 14:00:00+00:00,8.347585564913537,-0.03284729167763334,1.0
2021-03-29 16:00:00+00:00,2021-03-29 15:00:00+00:00,8.71954732327881,0.013092285950457416,1.0
2021-03-29 17:00:00+00:00,2021-03-27 07:00:00+00:00,9.660281356713652,-0.10011161003971236,1.0
2021-03-29 18:00:00+00:00,2021-03-27 09:00:00+00:00,10.341136157754102,-0.12756339024143848,1.0
2021-03-29 19:00:00+00:00,2021-03-27 02:00:00+00:00,11.283715312057902,-0.1746513636924596,1.0
2021-03-29 20:00:00+00:00,2021-03-27 04:00:00+00:00,11.910710330147069,-0.147161272278864,1.0
2021-03-29 21:00:00+00:00,2021-03-27 15:00:00+00:00,11.917039751730929,-0.10435419719489225,1.0
2021-03-29 22:00:00+00:00,2021-03-27 17:00:00+00:00,12.368618275257127,-0.11099040376606917,1.0
2021-03-29 23:00:00+00:00,2021-03-27 19:00:00+00:00,13.028172929003007,-0.13303139633069772,1.0
2021-03-30 00:00:00+00:00,2021-03-27 21:00:00+00:00,13.08319840802345,-0.11286640726329444,1.0
2021-03-30 01:00:00+00:00,2021-03-27 23:00:00+00:00,12.877165844208767,-0.11765472312703573,1.0
2021-03-30 02:00:00+00:00,2021-03-28 01:00:00+00:00,11.812496258266433,-0.10705363312602978,1.0
2021-03-30 03:00:00+00:00,2021-03-28 03:00:00+00:00,11.500434690435599,-0.12484263533361317,1.0
